Name,ProjectID,Version,FileID
Actually Additions,228404,1.12.2-r151,2824799
AppleSkin,248787,mc1.12-1.0.9,2496585
Applied Energistics 2,223794,rv6-stable-7,2747063
ArchitectureCraft - TridentMC Version,277631,1.12-3.98,2750633
Aroma1997Core,223735,1.12.2-2.0.0.2,2676866
Aroma1997s Dimensional World,60092,1.12.2-2.0.0.2,2672438
Astral Sorcery,241721,1.12.2-1.10.20,2757379
AutoRegLib,250363,1.3-32,2746011
Avaritia 1.1x,261348,1.12.2-3.3.0.33-universal,2660801
Bad Wither No Cookie - Reloaded,261251,1.12.2-3.3.16,2638317
Baubles,227083,1.12-1.5.2,2518667
Better Builder's Wands,238403,1.12-0.11.1.245+69d0d70,2443194
BetterFps,229876,1.4.8,2483393
BiblioCraft,228027,v2.4.5,2574880
Biomes O' Plenty,220318,1.12.2-7.0.1.2443-universal,2814040
Blockcraftery,278882,1.12.2-1.3.1,2716712
Blood Magic,224791,1.12.2-2.4.3-105,2822288
Bookshelf,228525,1.12.2-2.3.585,2727800
Botania,225643,r1.10-362,2782181
Brandon's Core,231382,1.12.2-2.4.17.208-universal,2744222
Chameleon,230497,1.12-4.1.3,2450900
Chisel,235279,MC1.12.2-1.0.1.44,2813538
Chisels & Bits,231095,14.33,2720655
CodeChicken Lib,242818,1.12.2-3.2.3.358-universal,2779848
CoFH Core,69162,1.12.2-4.6.3.27-universal,2716100
CoFH World,271384,1.12.2-1.3.1.7-universal,2715784
Common Capabilities,247007,1.12.2-2.4.4,2739226
ConnectedTexturesMod,267602,MC1.12.2-1.0.0.29,2809915
Controlling,250398,3.0.7,2731319
Cooking for Blockheads,231484,1.12.2-6.4.71,2733516
Crafting Tweaks,233071,1.12.2-8.1.9,2562139
CraftTweaker,239197,1.12-4.1.19,2724129
CreativeCore,257814,v1.9.73_mc1.12.2,2830127
Cucumber Library,272335,1.12.2-1.1.3,2645867
Custom Main Menu,226406,MC1.12.2-2.0.9,2638282
CXLibrary,244023,1.12.1-1.6.1,2463886
Cyclic,239286,1.12.2-1.19.18,2821917
Cyclops Core,232758,1.12.2-1.5.1,2811241
Dark Utilities,242195,1.12.2-1.8.226,2694889
Decocraft,79616,2.6.3_1.12.2,2777813
Draconic Evolution,223565,1.12.2-2.3.24.349-universal,2753317
Electroblob's Wizardry,265642,4.2.5-MC1.12.2,2802614
EnderCore,231868,1.12.2-0.5.73,2822401
Ender IO,64578,1.12.2-5.1.52,2809869
Ender Storage 1.8.+,245174,1.12.2-2.4.6.137-universal,2755787
Environmental Tech,245453,1.12.2-2.0.20.1,2691536
Exchangers,270183,1.12.2-2.8,2621277
Extra Utilities,225561,1.12-1.9.9,2678374
Extreme Reactors,250277,1.12.2-0.4.5.67,2722271
Fast Leaf Decay,230976,v14,2463272
FoamFix for Minecraft,278494,0.10.8-1.12.2,2809906
GraveStone Mod,238551,1.10.3,2744766
Guide-API,228832,1.12-2.1.8-63,2645992
Immersive Engineering,231951,0.12-92,2799143
Industrial Foregoing,266515,1.12.2-1.12.13-237,2745321
Integrated Dynamics,236307,1.12.2-1.1.0,2779016
Integrated Tunnels,251389,1.12.2-1.6.10,2732756
Integration Foregoing,277938,1.12.2-1.9,2676458
Inventory Tweaks,223094,1.63,2482481
Iron Backpacks,227049,1.12.2-3.0.8-12,2564573
Iron Chests,228756,1.12.2-7.0.72.847,2747935
JEI Integration,265917,1.12.2-1.5.1.36,2491927
JourneyMap,32274,1.12.2-5.5.5,2755458
Just Enough HarvestCraft (JEHC),267939,1.12.2-1.6.6,2823958
JustEnoughIDs,296289,1.0.3-48,2810213
Just Enough Items (JEI),238222,1.12.2-4.15.0.292,2822849
Just Enough Resources (JER),240630,1.12.2-0.9.2.60,2728585
Keyboard Wizard,262366,1.12.2-1.7.1,2791068
LittleTiles,257818,v1.5.0-pre180_mc1.12.2,2829983
Mantle,74924,1.12-1.3.3.55,2713386
McJtyLib,233105,1.12-3.5.4,2745846
Mekanism,268560,1.12.2-9.8.2.389,2798295
Mekanism Generators,268566,1.12.2-9.8.2.389,2798297
Mekanism Tools,268567,1.12.2-9.8.2.389,2798298
Mob Grinding Utils,254241,0.3.13,2656683
Mod Name Tooltip,238747,1.12.2-1.10.1,2739582
ModTweaker,220954,4.0.17,2693544
Modular Routers,250294,1.12.2-3.2.2,2729618
More Furnaces,78320,1.12.2-1.10.6,2627678
More Overlays,243478,1.15.1-mc1.12.2,2745657
Mouse Tweaks,60089,2.10-mc1.12.2,2671937
MTLib,253211,3.0.6,2684561
Mystical Agriculture,246640,1.12.2-1.7.5,2704562
MysticalLib,277064,1.12.2-1.4.0,2817910
Natura,74120,1.12.2-4.3.2.69,2711439
Nature's Aura,306626,r15,2693931
OpenBlocks,228816,1.12.2-1.8.1,2699056
OpenComputers,223008,MC1.12.2-1.7.5.192,2828357
OpenModsLib,228815,1.12.2-0.12.2,2699055
Pam's HarvestCraft,221857,1.12.2zf,2771840
Patchouli,306770,1.0-20,2731963
PlusTiC,260327,7.1.6.1,2789626
Project Intelligence,306028,1.12.2-1.0.8.25,2762334
Psi,241665,r1.1-77,2724967
PTRLib,291499,1.0.4,2685154
Quark,243121,r1.6-177,2759240
Random Things,59816,MC1.12.2-4.2.7.3,2751591
ReAuth,237701,3.6.0,2560638
Redstone Flux,270789,1.12-2.1.0.6-universal,2623090
Resource Loader,226447,MC1.12.1-1.5.3,2477566
RFTools,224641,1.12-7.72,2745848
RFTools Control,250763,1.12-2.0.2,2705813
Rustic,256141,1.1.1,2746408
Shadowfacts' Forgelin,248453,1.8.4,2785465
Simple Generators,246010,1.12.2-2.0.20.2,2694397
Simply Jetpacks 2,251792,1.12.2-2.2.14.67,2789696
Snad,241344,1.12.1-1.7.09.16a,2480458
Storage Drawers,223852,1.12.2-5.4.0,2777929
Tesla Core Lib,254602,1.12.2-1.0.15,2580052
Thaumcraft,223628,1.12.2-6.1.BETA26,2629023
Thaumic Energistics,223666,2.2.3,2750063
Thaumic JEI,285492,1.12.2-1.6.0-27,2705304
The One Probe,245211,1.12-1.4.28,2667280
Thermal Cultivation,271835,1.12.2-0.3.3.12-universal,2715791
Thermal Dynamics,227443,1.12.2-2.5.5.21-universal,2716138
Thermal Expansion,69163,1.12.2-5.5.4.43-universal,2715789
Thermal Foundation,222880,1.12.2-2.6.3.27-universal,2715788
Thermal Innovation,291737,1.12.2-0.3.3.12-universal,2715787
The Twilight Forest,227639,1.12.2-3.10.1013,2818055
Tinkers Construct,74072,1.12.2-2.13.0.171,2809406
Tinkers' Tool Leveling,250957,1.12.2-1.1.0,2630860
TOP Addons,247111,1.12.2-1.12.0,2823642
ValkyrieLib,245480,1.12.2-2.0.20.1,2691542
Waystones,245755,1.12.2-4.0.72,2734498
XNet,260912,1.12-1.8.2,2745852
ZeroCore,247921,1.12.2-0.1.2.8,2670570
